preferred_canonical	merged_from	before_daf_count	after_daf_count
Neder vs. Nedavah (vow vs. freewill offering)	Neder vs. Nedava (vow vs. free-will offering)	2	4
Nefashot (souls/corpses)	Nefashot (souls/living persons)	1	2
Nefesh (soul/life force)	Nefesh (soul/appetite); Nefesh (soul/inner experience); Nefesh (soul/life); Nefesh (soul/person)	1	6
Nefulah (fallen animal)	Nefulah (falling from roof)	2	3
Nega'im and Tzara'at (leprosy spots)	Nega'im (leprosy spots)	1	6
Negligence liability	Negligence and liability; Negligence levels	1	3
Nehemiah (governor in return from exile)	Nehemiah; Nehemiah (time of return from exile)	1	3
Nekeivah (female)	Nekeivah (female) in dependency law; Nekeva (female); Nekiva (hole-making)	2	5
Nekev (hole)	Nekuva (hole)	1	2
Neki'im (cleanliness)	Neki'os (cleanliness)	1	2
Ner (lamp)	Ner (candle)	1	2
Ner Chanuka (Chanuka candle)	Ner Chanukah (Chanukah candle)	1	3
Nesachim (libations)	Nesachim (libations to idols)	44	45
Neshama (soul)	Neshama and Shemen in etymology; Neshama entry timeline	2	4
Neshech (interest)	Neshech and Marbis (types of interest)	4	5
Nesi'as Kapayim (lifting of hands in priestly blessing)	Nesiat Kapayim (lifting of hands in priestly blessing); Nesiyas Kapayim (Duchening)	3	5
Nesi'im (princes)	Nesi'im offering	2	3
Nesikhim (wine libations)	Nesikim (libations)	1	2
Nesina (giving)	Nesinat Ba'al Korcha (giving against one's will)	1	2
Nesuin (marriage)	Nesutah, Besulah, Be'ulah (marital status of women)	1	2
Netilat Yadayim (hand washing)	Netilat Yadayim (hand-washing); Netilat Yadayim in meal (hand washing); Netilat Yadayim on journeys (hand washing)	10	13
Netin (temple servant)	Netin (Canaanite servant); Netin (Gibeonite proselyte)	1	3
Netina (transfer)	Netina (giving/transfer); Netina (application of blood); Netina (placement of blood on altar horns)	1	4
Netinim (temple servants)	Netinim (Gibeonites)	1	2
Netiruta (guarding/protecting)	Netiruta (protection); Netiruta (responsibility/guarding)	3	5
Neutral touch (ordinary proximity)	Neutral touch distinction	1	2
Neveilah (non-kosher carcass)	Neveilah (carcass); Nevela (carcass)	40	78
Neveilah and Treifah (improperly slaughtered and defective animals)	Neveilah vs. Treifah	1	2
Nezek (damage)	Nezek larabbim (public damage); Nezek shalem (full damages)	21	25
Nezirut (nazirite vow)	Nezirut and Neder (nazirite vow and vow); Nezirut as Package (nazirite vow package doctrine)	16	18
Nezirut d'Tumah and Nezirut d'Taharah (impure and pure nazirite states)	Nezirut d'Taharah (pure nazirite state)	1	2
Nicha Lei (willingness with result)	Nicha Lei (he is pleased)	1	2
Nichsei (property)	Nichsei Aviv (father's property); Nichsei Hager (property of deceased non-Jew); Nichsei K'Areiv (property as guarantor); Nichsei Kohen (priestly property); Nichsei Milog (wife's retained property); Nichsei Nichnasim V'Yotzim Imah (property entering and leaving with wife); Nichsei Ovdei Chochavim (property of non-Jews); Nichsei Yetomim ke-Hekdesh (orphans' property as dedicated)	2	31
Nichsei Milog vs. Nichsei Tzon Barzel (wife's retained vs. iron-sheep property)	Nichsei Tzon Barzel (iron-sheep property)	1	11
Nida (menstruating woman)	Niddah (menstrual impurity)	1	73
Nidcha (rejected, pushed away)	Nidcheh (pushed away)	1	4
Niddui (excommunication)	Niddui and cherem (excommunication); Niddui vs. cherem; Nidui (excommunication), universal vs. personal; Niduy (excommunication)	18	23
Nidmeh (animal that looks different from parents)	Nidma (resembles other species); Nidmeh (nursing from different species)	3	5
Nidrah (vow)	Nidrei (vows)	1	2
Nifsal (disqualified, cannot convey tumah)	Nifsal (invalidated)	1	2
Nikanor Gate (eastern gate of Temple)	Nikanor	0	1
Nikar (visible/observable)	Nikar (visible damage)	2	3
Nikav (hole in etrog)	Nikuvat HaKotz (punctured by thorn)	1	2
Nikev (hole)	Nikva (hole in ear); Nikvah (hole)	1	3
Niklaf (peeled, detached flesh)	Niklaf (peeled etrog)	1	2
Nima (thread or hair as barrier)	Nima (strand of hair)	1	2
Nimchak (erased document)	Nimchak (erasable)	1	2
Nimlach (reconsidering, modifying)	Nimalach (new decision)	1	2
Nine Years and a Day	Nine Years and a Day: Minimum Age for Biiah	2	3
Nir (fallow field)	Nir (fallow field) in manure damage	1	2
Nira (overturning the soil)	Nira mibachutz u'shaveh mibifnim (visible outside, flush inside); Nira mibifnim u'shaveh mibachutz (visible inside, flush outside)	1	3
Nireh Ve-Nidcheh (appears but is pushed aside)	Nir'ah Ve-Nidcheh vs. Dichuy Me-Ikara	2	3
Nisdak (cracked flesh)	Nisdak (split leaves)	1	2
Nishba Ve-Notel (takes oath and collects)	Nishba V'Notel (swears and collects)	0	1
Nishtaresh Ba'Cheit (deepening the sin)	Nishtarsha Ba'Cheit (deepening the sin)	1	2
Nisim (miracles)	Nisim (miracles of the Beis HaMikdash)	1	2
Nisrafim (burned items)	Nisrafim (burned to death)	3	4
Nisu'in (full marriage)	Nishuin (full marriage)	59	60
Nisu'in Rishonim (first marriages)	Nishuin Rishonim (first marriage)	1	2
Nisuch HaMayim (water libation)	Nisuch Hamayim (water libation)	7	8
Nitak (removed status)	Nitak (disconnection)	1	2
Nitkal Poshea (tripping as negligence)	Nitkal (tripped)	2	3
Nitkapar be-acher (atoned through another)	Niskaper Be'Acher (atoned with another)	4	5
Nitpas Alav K'Ganav (caught as a thief)	Nitpas Alav K'Ganav (caught like a thief); Nitpas Alav K'Ganav (fear of consequences if caught)	1	3
Nitzok (pouring/flowing connection)	Nitzok (flowing stream); Nitzok (pouring/separation of liquids)	1	4
Nivul HaMet (desecration of the dead)	Nivul ha-meis (degradation of corpse)	1	2
Nochrit (non-Jewish woman)	Non-Jewish Woman; Non-Jewish Women	3	5
Nogea B'Edus (interested in testimony)	Nogeia Badavar (conflicted witness)	2	3
Nogeiach (ox that gores)	Nogeia'ch (goring animal)	1	2
Noi Mitzvah (beautifying commandments)	Non-Binding Ruling	1	2
Non-Jew	Non-Jews	3	7
Non-Jew's Role in Nullification	Non-Jew's Role in Bittul	1	2
Non-Jewish Court Authority	Non-Jewish Court Proceedings; Non-Jewish court enforcement	1	3
Non-kosher Animals (Tamei)	Non-kosher Animals (Behemah Tmeiah)	1	2
North (Tzafon)	North of the Altar (Tzafon)	1	3
North-South Axis (Tzafon vs. Dromi)	North-South (Tzafon vedarom) Orientation	1	2
Nosar (leftover offering)	Notar (leftover offering)	25	66
Nosar (leftover offering) - Burning Requirement	Notar (leftover offering) - Allowing It to Become Invalid	1	2
Nosei v'Noten (handling affairs)	Nosei ve-noten (handling affairs)	0	1
Notein Ta'am (imparting taste)	Noten Ta'am (giving taste)	8	9
Notein Ta'am Lifgam (imparting detrimental taste)	Noten Ta'am Lifgam (giving bad taste)	5	6
Nusach (liturgical version)	Nusach (formulation)	2	3
Nusach Tefilla (prayer rite)	Nusach Bracha (blessing formula); Nusach HaGet (get formula)	1	4
Oath	Oath in Torah law	3	4
Ochel (food)	Ochalin (foods); Ochlin (foods)	1	3
Ochel nefesh (sustenance)	Ochel Nefesh (food preparation)	5	9
Ofot (bird sacrifices)	Ofot (birds)	1	4
Ohel (tent transmitting impurity)	Ohel (tent of impurity); Ohel (tent structure); Ohel tumah (tent impurity)	1	15
Ohel Zaruk (portable tent structure)	Ohel and Ohel Zaruk (tent structure and portable structure)	2	3
Oil absorption issues	Oil absorption and lees; Oil Absorption Problem in Todah	1	3
Okimta (resolution, reinterpretation)	Okimta (limiting interpretation)	1	5
Olah (burnt offering)	Olah (elevation offering)	1	113
Olam Ha-Zeh vs. Olam Ha-Ba (this world vs. world to come)	Olam Ha-Ba vs. Olam Ha-Zeh (world to come vs. this world)	1	2
Olat Nedavah (freewill offering)	Olat Nedavah (voluntary olah)	2	3
Olat Re'iyah (festival offering)	Olat Re'iyah (appearance offering)	1	8
Olei Regalim (festival pilgrims)	Oleh LaRegel (pilgrimage festival)	2	4
Olive oil	Olive oil preference	1	2
Olive trees and branches	Olive tree branches restriction; Olive trees sold for wood	1	3
Ona (unit of time)	Ona (twelve-hour period); Ona (coercion)	1	3
Ona'ah (overcharging)	Ona'at Mamon (monetary overreach)	33	34
Ona'at Devarim (verbal abuse)	Ona'at Devarim (causing harm through words); Ona'at Devarim (causing pain through words)	4	6
Onah (unit of time)	Onah (conjugal obligation); Onah (expected time of period)	3	10
Onat Nedarim (age of vow-making capacity)	Onot nedarim (age of vow-making)	2	3
Onen (mourner before burial)	Onen (status of mourner before burial)	22	24
Ones (force majeure; unavoidable circumstance)	Ones (force majeure); Oneis (force majeure)	48	52
Ones (rape)	Oneis (rape)	8	9
Or (skin; leather)	Or (leather)	2	3
Oral Torah (Torah She'be'al Peh)	Oral Torah vs. Written Torah	2	3
Orchai (normal situation)	Orcheia (normal behavior)	1	2
Oref (back of neck)	Oref in Melika (back of neck location)	2	3
Orlah (fruit of first three years)	Orlah (fruit from young trees)	38	39
Oro (skin)	Orot (skin)	1	2
Orphans (Yesomim)	Orphans and Collection; Orphans Collecting Debts; Orphans Dividing Estate; Orphans Exception; Orphans Protection; Orphans Special Evidentiary Rules; Orphans' Rights to Keep Document	2	10
Osek bemitzvah (engaged in a mitzvah)	Osek B'Mitzvah (engaged in mitzvah)	1	5
Osek bemitzvah patur min hamitzvah (one engaged in a mitzvah is exempt from other mitzvot)	Osek B'Mitzvah Patur Min Ha-Mitzvah (engaged in mitzvah exempts from other mitzvot)	8	9
Osheq (overreaching)	Oshek (cheating)	1	2
Ot (sign; marker)	Os (sign); Ot (sign) as Conceptual Framework; Ot (sign) in Shabbat	1	4
Otiyot (letters; debt documents)	Otiot (letters; debt documents)	1	2
Otiyot Nikon'ot B'Mesira (acquisition of document by delivery)	Otiyot niknas bimesira (letters acquired by transfer)	1	3
Oto v'et beno (mother and child slaughter prohibition)	Oso v'et beno (mother and child slaughter prohibition)	11	12
Otzar (storage; possession)	Otzar (storage shed; house); Otzar (hoarding); Otzar (granary)	1	4
Ovdei kochavim (non-Jews; idol worshippers)	Ovdei Kochavim (non-Jews); Ovdei Kochavim (idolaters); Ovdei avodah zarah (idolaters)	9	13
Oved (one who worships)	Oved (one performing the act)	1	2
Oved kochavim (non-Jew; idol worshipper)	Oved Kochavim (non-Jew); Oved avodah zarah (idolater)	18	20
Oven (tanur)	Oven in new versus old (tanur)	1	2
Overselling (exceeding mandate)	Overselling (exceeding property rights)	1	2
Ownership requirement (lachem)	Ownership as requirement (lachem)	1	2
Ownership — Ramban's narrower reading	Ownership and sanctity — Ramban's distinction	1	2
Pagum (defect)	Pagum (defective); Pagum me-ikara (defective from the beginning)	1	3
Pagum me-ikara (defect from the beginning)	Pagam me'ikara (bad from the start)	0	1
Pamalya (divine retinue)	Pamlya (divine retinue)	0	1
Papunia	Papunei tradition; Papunaim (people from Papuna)	1	3
Par He'elam Davar Shel Tzibbur (communal sin offering)	Par He'elam Davar (communal sin offering)	11	19
Par Kohen Mashiach (anointed priest's bull)	Par Kohen Mashiach (bullock of anointed priest); Par Mashiach (anointed priest's bullock)	3	8
Para Aduma (red heifer)	Parah (red heifer); Parah Adumah (red heifer); Parah adumah (red heifer) ashes in Rambam's teaching	78	84
Para Aduma in tahara (purification)	Para Aduma in three-day impurity purification	1	2
Parashat Drachim (crossroads)	Parshat Drachim (crossroads)	1	2
Parnasa (livelihood)	Parnasa (dowry)	9	10
Parochet (curtain)	Parochet (curtain of the sanctuary)	16	17
Parshat Sotah	Parshat Sotah and textual derivation	2	3
Parshiyot (Torah portions)	Parshiyot (biblical passages)	1	2
Parsot (hoofs requirement)	Parsot rechavot (duck feet)	1	2
Parutz Bimlo'o (complete exposure)	Parutz Bemilo (completely open)	1	2
Pas Paltar (non-Jewish baker's bread)	Pas Paltar (baker's bread)	1	3
Pasei Biraot (walls around public wells)	Pasei Biraot (partial walls around wells)	1	3
Pashut (simple)	Pashut (simple document); Pashut (simple get)	1	4
Pasken (rendering halachic decisions)	Pasken (ruling or decision)	1	2
Paskening before one's teacher	Paskening before a rebbe	1	2
Pasuk (biblical verse)	Pasuk (Torah verse)	28	29
Pasuk interpretation (verse exegesis)	Pasuk interpretation (derasha methods)	4	5
Patur (exempt)	Patur vs. Muttar; Patur vs. Assur	4	7
Patur Aval Assur (exempt but forbidden)	Patur B'Dinei Adam, Chayav B'Dinei Shamayim (exempt in human courts, liable in heaven); Patur Mi'Dinei Adam, Chayav B'Dinei Shamayim (exempt in human courts, liable in heaven)	2	4
Pe'ah (corner of field for poor)	Pe'ah (corner of field); Pe'ah (portion left for poor)	22	24
Pe'ah Zakenim (corners of beard)	Peiat Ha'zakan (corners of the beard)	1	2
Pe'or (idol)	Pe'or and Markulis (deities)	1	2
Pegima (nick)	Pegimah (nick); Pegimah (nicked ear)	1	3
Peh She'Asar (mouth that forbade)	Peh She'asar (the mouth that forbids is the mouth that permits)	2	8
Peira (fruit/produce)	Peira (commodity)	2	3
Peiros (produce/usufruct)	Peirot (produce/usufruct)	11	30
Peiros and Shevach Peiros (produce and appreciation of produce)	Peirot ve-Shevach Peirot (produce and appreciation of produce)	1	2
Peot (sidelocks)	Payot (sidelocks)	1	2
Perot (fruits/income)	Perot (fruit/income from wife's property)	2	3
Perutah (smallest coin)	Perutah (minimal monetary value)	14	15
Pesach (Passover)	Pesach (Passover offering)	51	91
Pesach and Sukkot	Pesach and Succos	1	2
Pesach b'Tumah (Pesach in impurity)	Pesach Be'tumah (Pesach brought while tamei); Pesach she-ba b'tumah (Passover in impurity)	1	3
Pesach Korban (Passover offering)	Pesach (Passover offering) - four days checking	6	7
Pesach Rishon and Pesach Sheni	Pesach Rishon and Pesach Sheini	1	3
Pesach Tahor and Pesach Tamei	Pesach b'Taharah (Pesach in purity)	1	2
Pesak damim (fixing of price)	Pesak (establishing price)	1	2
Peshara (compromise)	Pesharah (escrow)	2	3
Pesile Eloheihem (idols to burn)	Pesilei Eloheihem (idols to burn)	0	1
Peskel (idol)	Pessel (idol)	0	1
Pesukei D'Zimra (verses of song)	Pesukei Dezimra (songs of praise)	1	2
Pesukei pesukim (connecting verses to derive laws)	Pesuka Pesukim (resolving conflicting verses)	1	2
Pesul (disqualification)	Pesul (invalid)	19	21
Pesulah (invalid)	Pesulah in consecrated items (invalid in consecrated items)	4	5
Pesulei Hamukdashin (invalid sacrifices)	Pesulei Mukdashim (invalid consecrated animals)	1	5
Petichat HaKever (opening of the grave)	Pesichat Ha-Kever Belo Dam (opening grave without blood)	1	2
Pi Tikra Yored Ve-Sotem (roof edge descends and closes)	Pi tikra (ceiling principle); Pi Tikra Yored v'sotem	2	4
Pidyon and Mechallel (redemption and desanctification)	Pidyon and Mechulal (redemption and desanctification)	1	2
Pidyon Shvuyim (redeeming captives)	Pidyon shvuyim (redeeming captives)	9	10
Piggul (improper intention in offering)	Piggul (invalidated offering)	42	123
Pikadon (deposit)	Pikdon (deposit)	28	31
Pikeach (competent person)	Pikach (hearing person)	4	5
Pirkah (puberty)	Pirkan (puberty)	1	2
Pirson (disclosure/publicity)	Pirsum (disclosure/publicity)	0	2
Pirsum Hanes (publicizing miracle)	Pirsumei Nisa (publicizing the miracle); Pirsumei Nisa in reading	2	15
Piru u'Rvu (procreation)	Pirya u'Rvu (procreation); Piryah v'Rivyah (fruitfulness and multiplication); Pirya v'Rivya (propagation of species)	1	4
Pishtim (flax)	Pishtan (flax)	1	3
Pislo (small platform/minor structure)	Pisla (raised platform)	1	2
Pisuk Te'amim (verse accents)	Pisuk Ta'amim de'Oraita (biblical verse accents)	1	2
Pituah (seduction)	Pitoui (seduction); Pituy (seduction)	1	6
Pitum HaKtoret (incense preparation)	Pitum HaKtores and Sach HaShemen (incense and anointing oil)	1	2
Piv v'libo shavin (private meaning of words)	Piv u'Libo Shavin (words and intent must align)	1	7
Piyus (appeasement)	Piyes (reconciliation); Piyyusum (appeasement of friends)	2	4
Plank (neser)	Planks (nesarim)	1	2
Plaster (sid)	Plaster (meziva) insulation requirement; Plaster requirement (v'sid b'sid); Plaster/whitewashing (malbinin)	1	4
Plaster vs. tar seals (detectability)	Plaster and hair removal	1	2
Plowing in Shmita	Plowing/Tilling in Chazaka	1	2
Pnim (inner sanctum)	Pnimit (inner)	1	2
Pogem Shtaro (admits document)	Pogem Shtar (creditor admits partial payment); Pogemet ketubah (woman admits partial payment)	1	3
Polelet Shichvat Zera (woman expelling semen)	Poleset/Poletet (woman with seminal discharge); Poletet Shichvat Zera (woman expelling semen)	1	4
Pomegranate (Rimon)	Pomegranate and Strawberry	1	2
Poor person (Ani)	Poor person dependent on charity (Ani hamitparneis); Poor person versus Rich person	1	3
Porek Ol (rejecting God's yoke)	Porkim Ol (rejecting the yoke of Torah)	1	2
Porous Pottery Vessels and Absorption	Porous produce and absorption; Porous versus Non-Porous Materials in Water Absorption	1	3
Posek/Poskim (halachic authority)	Posek Imo K'Sha'ar Hagavo'ah	1	2
Posel/Poselet (invalidate/forbidden)	Posel (invalidate); Posel Ba Posel Be'vitah (invalidates her and her daughter); Posel Echad Kenegdo (invalidates one opposite); Posel v'eino ma'achil (invalidates but not disqualifies from eating); Posel versus Metamei	1	6
Poskim (halachic authorities)	Poskei Tzedaka (those who promise charity but don't give)	3	4
Possession and Kinyan (acquisition)	Possession transfer conditions and timing	1	2
Post-Churban restrictions (Zecher L'Churban)	Post-Destruction reality and sanctity	1	2
Post-dating (Icharu v'Chasavu)	Post-dating concern (Shettar me'uchar); Post-dating/pre-dating (Shettar mookdam)	1	3
Poter mayim reshit madon (releasing water is the beginning of contention)	Poter mayim reshit madon (releasing water is the beginning of strife)	1	2
Pottery vessel (Kli Cheres)	Pottery (Cheres); Pottery contact (Cheres); Pottery vessels (Klei Cheres)	1	7
